alpha CMa,Sirius,-1.46,90.7525,-16.7161
alpha Car,Canopus,-0.72,90.3992,-52.6956
alpha Cen,Rigil Kent,-0.01,210.6601,-60.8353
alpha Boo,Arcturus,-0.04,210.2610,19.1825
alpha Lyr,Vega,0.03,270.6156,38.7836
alpha Aur,Capella,0.08,75.2781,45.9981
beta Ori,Rigel,0.12,75.2423,-8.2017
alpha CMi,Procyon,0.38,105.6550,5.2250
alpha Eri,Archenar,0.46,15.6286,-57.2367
alpha Ori,Beteigeuse,0.5,75.9195,7.4069
beta Cen,Hadar,0.61,210.0637,-60.3728
alpha Aql,Altair,0.77,285.8464,8.8767
alpha Tau,Aldebaran,0.85,60.5987,16.5092
alpha Vir,Spica,0.98,195.4199,-11.1614
alpha Sco,Antares,0.96,240.4901,-26.4236
beta Gem,Pollux,1.14,105.7553,28.0261
alpha PsA,Fomalhaut,1.16,330.9608,-29.6222
alpha Cyg,Deneb,1.25,300.6905,45.2803
beta Cru,Mimosa,1.25,180.7954,-59.6886
alpha Leo,Regulus,1.35,150.1395,11.9672
epsilon CMa,Adhara,1.5,90.9771,-28.9722
alpha Cru,Acrux,1.58,180.4433,-63.0989
alpha Gem,Castor,1.58,105.5766,31.8883
gamma Cru,Gacrux,1.63,180.5194,-57.1131
lambda Sco,Shaula,1.63,255.5601,-37.1036
gamma Ori,Bellatrix,1.64,75.4188,6.3497
beta Tau,El Nath,1.65,75.4382,28.6075
beta Car,Miaplacidus,1.68,135.2200,-69.7172
epsilon Ori,Alnilam,1.7,75.6035,-1.2019
alpha Gru,Al Na'ir,1.74,330.1372,-46.9611
epsilon UMa,Alioth,1.77,180.9005,55.9597
gamma Vel,Regor,1.78,120.1589,-47.3367
alpha Per,Algenib,1.79,45.4054,49.8614
alpha UMa,Dubhe,1.79,165.0621,61.7508
delta CMa,Al Wazor,1.84,105.1398,-26.3931
epsilon Sgr,Kaus Australis,1.85,270.4029,-34.3847
epsilon Car,Avior,1.86,120.3752,-59.5094
eta UMa,Alkaid,1.86,195.7923,49.3133
theta Sco,Sargas,1.87,255.6219,-42.9978
beta Aur,Menkalinam,1.9,75.9921,44.9475
alpha TrA,Atria,1.92,240.8111,-69.0278
gamma Gem,Alhena,1.93,90.6285,16.3992
alpha Pav,Peacock,1.94,300.4274,-56.7353
delta Vel,Koo She,1.96,120.7451,-54.7083
beta CMa,Murzim,1.98,90.3783,-17.9561
alpha Hya,Alphard,1.98,135.4598,-8.6586
alpha Ari,Hamal,2,30.1195,23.4625
sigma Sgr,Nunki,2.02,270.9211,-26.2967
beta Cet,Deneb Kaitos,2.04,0.7265,-17.9867
zeta1 Ori,Alnitak,2.05,75.6793,-1.9428
alpha And,Alpheratz,2.06,0.1398,29.0906
beta And,Mirach,2.06,15.1622,35.6206
gamma1 And,Alamach,2.06,30.0650,42.3297
theta Cen,Menkent,2.06,210.1113,-36.3700
kappa Ori,Saiph,2.06,75.7959,-9.6697
alpha Oph,Ras Alhague,2.08,255.5822,12.5600
beta UMi,Kochab,2.08,210.8451,74.1556
beta Gru,Al Dhanab,2.1,330.7111,-46.8847
beta Per,Algol,2.12,45.1361,40.9558
beta Leo,Denebola,2.14,165.8176,14.5719
gamma Cen,Koo Low,2.17,180.6919,-48.9594
gamma Cyg,Sadr,2.2,300.3704,40.2567
lambda Vel,Suhail,2.21,135.1333,-43.4200
alpha Cas,Schedir,2.23,0.6751,56.5375
alpha CrB,Alphecca,2.23,225.5781,26.7147
gamma Dra,Etamin,2.23,255.9434,51.4889
delta Ori,Mintaka,2.23,75.5334,0.0000
beta Cas,Caph,2.25,0.1529,59.1497
iota Car,Aspidiske,2.25,135.2848,-59.2753
zeta Pup,Suhail Hadar ,2.25,120.0597,-40.0031
zeta UMa,Mizar,2.27,195.3988,54.9253
epsilon Sco,Wei,2.29,240.8360,-34.2933
delta Sco,Dschubba,2.32,240.0055,-22.6217
beta UMa,Merak,2.37,165.0307,56.3822
alpha Phe,Ankaa,2.39,0.4381,-42.3061
beta Peg,Scheat,2.42,345.0629,28.0828
alpha Cep,Alderamin,2.44,315.3096,62.5856
gamma UMa,Phecda,2.44,165.8972,53.6947
eta CMa,Aludra,2.45,105.4016,-29.3031
alpha Peg,Markab,2.49,345.0793,15.2053
